id,min,delta_lower_quartile,median,delta_upper_quartile,delta_max,lower_quartile,upper_quartile,max
1049,0.55,0.0,0.55,0.0,0.0,0.55,0.55,0.55
1108,-0.3375,-0.3375,0.06666666666666667,0.146875,0.05312499999999998,0.0,0.146875,0.19999999999999998
