id,min,delta_lower_quartile,median,delta_upper_quartile,delta_max,lower_quartile,upper_quartile,max
1049,0.55,0.0,0.55,0.0,0.0,0.55,0.55,0.55
1108,-0.3375,-0.3375,0.06666666666666667,0.146875,0.05312499999999998,0.0,0.146875,0.19999999999999998
1077,-0.3125,-0.3541666666666667,0.018750000000000003,0.12499999999999997,0.17500000000000002,-0.04166666666666668,0.16666666666666666,0.3416666666666667
